RowName,ActionUpperState,ActionLowerState
1_Prisoner,"(Interact,Move,Dangerous)","(Doorpicking,Run,Escape)"
2_Prisoner,"(Interact,Interact,Move,Dangerous)","(Doorpicking,AssistNeighbor,Run,Escape)"
3_Prisoner,"(Confusion,Confusion,Confusion,Dangerous)","(Distract,Distract,Distract,Flame)"
4_Prisoner,"(Confusion,Interact,Interact,Move,Dangerous)","(Roar,Anger,AssistNeighbor,Run,Escape)"
5_Prisoner,"(Confusion,Confusion,Confusion,Confusion)","(Distract,Distract,Distract,Distract)"
6_Prisoner,"(Confusion,Confusion)","(Distract,Distract)"
7_Prisoner,(Confusion),(Distract)
8_Prisoner,"(Dangerous,Interact,Move,Dangerous)","(Radioactivity,Teleport,Floating,Topescape)"
9_Prisoner,"(Interact,Move,Confusion,Move,Dangerous)","(Doorpicking,Randommove,Roar,Run,Escape)"
10_Prisoner,(Confusion),(Distract)
